address,baths,beds,city,date_sold,hoa_fee,last_sold_price,latitude,longitude,parking,price,property_value,rent_high,rent_low,rent_value,sqft,tax_assessed_value,tax_rate,type,year_built,zest_high,zest_low,zest_value,zestimate
"5989 Brandywine Ct,",3.0,3.0,"Boulder, CO 80301",12/30/15,,579000,40.058112,-105.213926,"Garage - Attached, 620 sqft garage",579000.0,579000,3300.0,2500.0,2850.0,2928.0,425600,0.0054,Single Family,1993,676000.0,542000.0,608609.0,608609.0
"3840 Colorado Ave APT C,",1.0,2.0,"Boulder, CO 80303",07/19/13,,178943,40.006278,-105.245073,"Garage - Attached, 239 sqft garage",178943.0,178943,2300.0,1600.0,1850.0,1187.0,172000,0.0054,Townhouse,1997,395000.0,315000.0,346557.0,346557.0
"992 Sycamore Ave,",2.5,3.0,"Boulder, CO 80303",08/07/15,,711000,40.005115,-105.226249,"Garage - Attached, 440 sqft garage",711000.0,711000,3500.0,2700.0,2933.0,1868.0,475400,0.0054,Single Family,1965,806000.0,730000.0,768056.0,768056.0
"4670 Holiday Dr UNIT 103,",1.0,1.0,"Boulder, CO 80304",09/05/14, 156,148090,40.060075,-105.278436,,148090.0,148090,2100.0,1300.0,1684.0,736.0,141000,0.0054,Condo,2005,339000.0,173000.0,230926.0,230926.0
"4980 Meredith Way APT 202,",1.0,1.0,"Boulder, CO 80303",03/03/14,,129000,40.013283,-105.233011,,129000.0,129000,1500.0,1100.0,1300.0,438.0,104700,0.0054,Condo,1986,239000.0,154000.0,185604.0,185604.0
"2230 16th St,",3.0,3.0,"Boulder, CO 80302",11/05/14,,1150000,40.021616,-105.275334,"Garage - Attached, 231 sqft garage",1150000.0,1150000,5800.0,4200.0,5462.0,2833.0,807100,0.0054,Single Family,1890,1460000.0,1300000.0,1381781.0,1381781.0
"3180 Redstone Rd,",4.0,4.0,"Boulder, CO 80305",03/03/14, 41,1206000,39.965382,-105.254026,"Garage - Attached, 898 sqft garage",1206000.0,1206000,7000.0,5300.0,6117.0,3976.0,904900,0.0054,Single Family,1990,1700000.0,1390000.0,1547366.0,1547366.0
"2826 Elm Ave,",1.0,2.0,"Boulder, CO 80305",08/06/13,,356000,39.997695,-105.257646,"Garage - Detached, 308 sqft garage",356000.0,356000,2600.0,2000.0,2325.0,927.0,347300,0.0054,Single Family,1952,557000.0,489000.0,525401.0,525401.0
"3161 Madison Ave # R112,",2.0,2.0,"Boulder, CO 80303",06/08/15,,253000,40.006332,-105.251548,"Garage - Detached, 216 sqft garage",253000.0,253000,1900.0,1500.0,1750.0,1102.0,181600,0.0054,Condo,1969,300000.0,269000.0,283318.0,283318.0
"6236 Willow Ln,",2.0,2.0,"Boulder, CO 80301",07/11/13,,203000,40.059349,-105.208297,"Garage - Attached, 200 sqft garage",203000.0,203000,2000.0,1400.0,1700.0,1030.0,178600,0.0054,Condo,1984,284000.0,257000.0,270728.0,270728.0
"5384 Olde Stage Rd,",2.0,3.0,"Boulder, CO 80302",12/30/14,,495000,40.072436,-105.299858,"Garage - Detached, 1176 sqft garage",495000.0,495000,3300.0,2400.0,2700.0,1739.0,350200,0.0054,Single Family,1963,626000.0,516000.0,579852.0,579852.0
"3161 Madison Ave # N305,",1.0,1.0,"Boulder, CO 80303",08/26/14, 323,120000,40.006395,-105.251586,"Garage - Detached, 216 sqft garage",120000.0,120000,1400.0,902.0,1100.0,570.0,100700,0.0054,Multi Family,1969,185000.0,164000.0,174768.0,174768.0
"2813 La Grange Cir,",1.75,3.0,"Boulder, CO 80305",05/29/13,,425000,39.97824,-105.25814,"Garage - Attached, 269 sqft garage",425000.0,425000,3100.0,2200.0,2650.0,1660.0,459900,0.0054,Single Family,1966,739000.0,662000.0,704230.0,704230.0
"4734 Mckinley Dr,",4.0,4.0,"Boulder, CO 80303",09/06/13,,575500,40.01033,-105.236395,"Garage - Attached, 460 sqft garage",575500.0,575500,4100.0,2500.0,3110.0,3451.0,600100,0.0054,Single Family,1968,875000.0,761000.0,817904.0,817904.0
"1440 Bellevue Dr,",3.0,5.0,"Boulder, CO 80302",06/03/15,,1350000,39.995429,-105.274267,"Garage - Attached, 600 sqft garage",1350000.0,1350000,12000.0,4900.0,6677.0,3849.0,1190000,0.0054,Single Family,1965,1910000.0,1600000.0,1688286.0,1688286.0
